product_card_id,product_name,product_category_id,category_id,department_id,catalog_price,product_description,product_status,unit_weight_kg,unit_volume_m3,storage_type
502,Nike Men's Dri-FIT Victory Golf Polo,24,24,5,50.0,,0,2.0,0.00301,Carton
116,Nike Men's Comfort 2 Slide,6,6,2,44.99000168,,0,0.8,0.00137,Carton
37,adidas Kids' F5 Messi FG Soccer Cleat,3,3,2,34.99000168,,0,3.0,0.00499,Carton
977,ENO Atlas Hammock Straps,44,44,7,29.98999977,,0,1.5,0.0026,Carton
823,Titleist Pro V1x High Numbers Personalized Go,37,37,6,51.99000168,,0,0.3,0.00034,Carton
821,Titleist Pro V1 High Numbers Personalized Gol,37,37,6,51.99000168,,0,8.0,0.01189,Pallet
982,insta-bed Neverflat Air Mattress,44,44,7,149.9900055,,0,2.0,0.00219,Carton
860,Bushnell Pro X7 Jolt Slope Rangefinder,38,38,6,599.9899902,,0,2.0,0.00314,Carton
364,Total Gym 1400,17,17,4,299.9899902,,0,0.3,0.00042,Carton
743,Ogio Race Golf Shoes,34,34,6,169.9900055,,0,0.8,0.00096,Carton
897,Team Golf New England Patriots Putter Grip,40,40,6,24.98999977,,0,0.8,0.00093,Carton
564,Nike Men's Deutschland Weltmeister Winners Bl,26,26,5,30.0,,0,5.0,0.00834,Pallet
792,Hirzl Men's Hybrid Golf Glove,36,36,6,14.98999977,,0,1.5,0.00184,Carton
728,LIJA Women's Eyelet Sleeveless Golf Polo,33,33,6,65.0,,0,2.0,0.00404,Carton
1349,Web Camera,62,62,10,452.0400085,,0,0.8,0.00133,Carton
359,Nike Men's Free TR 5.0 TB Training Shoe,16,16,3,99.98999786,,0,0.5,0.00071,Carton
1348,CDs of rock,61,61,9,11.28999996,,0,1.0,0.00167,Carton
203,GoPro HERO3+ Black Edition Camera,10,10,3,399.9899902,,0,0.2,0.00021,Carton
208,SOLE E35 Elliptical,10,10,3,1999.98999,,0,2.0,0.00411,Carton
786,TaylorMade 2014 Purelite Stand Bag,35,35,6,179.9900055,,0,1.5,0.00233,Carton
